# Site: https://kubernetes.recipes/
# Run Date: 2026-06-06T00:44:19.573Z
# Pages Crawled: 606
# Total Issues: 1915

issue_type,severity,category,url,evidence_summary,change_state,fix_recommendation,ownership
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/observability/container-logging,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/autoscaling/keda-event-autoscaling,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/configuration/kubernetes-jobs-cronjobs,Low word count: 6 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,Low word count: 4 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/security/container-image-scanning,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/security/kyverno-policies,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/configuration/downward-api,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/observability/container-logging,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
INDEXABILITY_NOINDEX_PAGE,Low,INDEXABILITY,https://kubernetes.recipes/recipes/storage/velero-backup-restore,"Page has meta robots noindex: ""noindex, follow""",unchanged,"If the page should be indexed, remove the noindex directive from the meta robots tag. If intentional, no action needed.",engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
LINKS_INDEXABLE_PAGE_HAS_NO_OUTGOING_LINKS,Low,LINKS,https://kubernetes.recipes/KubernetesRecipes-sample.pdf,Page has no outgoing internal links (dead-end page),unchanged,Add relevant internal links to help users navigate and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://kubernetes.recipes/recipes/configuration/kubernetes-resource-optimization,Page has only 1 internal incoming link,unchanged,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
LINKS_INDEXABLE_PAGE_HAS_ONLY_ONE_DOFOLLOW_INCOMING_INTERNAL_LINK,Low,LINKS,https://kubernetes.recipes/recipes/troubleshooting/custom-ca-registry,Page has only 1 internal incoming link,unchanged,Add more internal links from related pages to improve discoverability and distribute link authority.,engineering
CONTENT_NOT_INDEXABLE_LOW_WORD_COUNT,Low,CONTENT,https://kubernetes.recipes/recipes/security/container-image-scanning,Low word count: 5 words (min: 300),changed,"Add more substantive content to reach at least 300 words, or consider whether this page should be consolidated with another.",content
CONTENT_NOT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/deployments/blue-green-deployments,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/networking,"Meta description too long (167 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/networking/kubernetes-load-balancing,"Meta description too long (164 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/observability,"Meta description too long (165 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_NOT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/observability/container-logging,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/observability/container-logging,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/observability/kubernetes-alerting-best-practices,"Meta description too long (165 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/observability/kubernetes-cost-monitoring-kubecost,"Meta description too long (169 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_NOT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/observability/prometheus-monitoring,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/security,"Meta description too long (168 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_NOT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/security/container-image-scanning,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/security/container-image-scanning,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
CONTENT_NOT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/security/kyverno-policies,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/security/kyverno-policies,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/storage,"Meta description too long (168 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_INDEXABLE_META_DESCRIPTION_TOO_LONG,Medium,CONTENT,https://kubernetes.recipes/recipes/storage/kubernetes-storage-best-practices,"Meta description too long (165 chars, max: 160)",changed,Shorten the meta description to 160 characters or fewer.,content
CONTENT_NOT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,Medium,CONTENT,https://kubernetes.recipes/recipes/storage/velero-backup-restore,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
